LST_Day_1km,millis,system:index,Timestamp,Year,Month,Day,DOY
52.70869043058502,1625184000000,2021_07_02,2021-07-02,2021,7,2,183
53.32730131235519,1625270400000,2021_07_03,2021-07-03,2021,7,3,184
53.594787941281766,1625356800000,2021_07_04,2021-07-04,2021,7,4,185
53.13127692197105,1625443200000,2021_07_05,2021-07-05,2021,7,5,186
53.33394641627376,1625529600000,2021_07_06,2021-07-06,2021,7,6,187
51.86635701114568,1625616000000,2021_07_07,2021-07-07,2021,7,7,188
53.96280377174327,1625702400000,2021_07_08,2021-07-08,2021,7,8,189
54.05295632026042,1625788800000,2021_07_09,2021-07-09,2021,7,9,190
53.44938565132594,1625875200000,2021_07_10,2021-07-10,2021,7,10,191
54.16512991277983,1625961600000,2021_07_11,2021-07-11,2021,7,11,192
52.52257493679343,1626048000000,2021_07_12,2021-07-12,2021,7,12,193
52.79166862466741,1626134400000,2021_07_13,2021-07-13,2021,7,13,194
50.32909578221961,1626220800000,2021_07_14,2021-07-14,2021,7,14,195
53.53009997687474,1626307200000,2021_07_15,2021-07-15,2021,7,15,196
50.456504434789224,1626393600000,2021_07_16,2021-07-16,2021,7,16,197
49.171948515326505,1626480000000,2021_07_17,2021-07-17,2021,7,17,198
49.84151374112167,1626566400000,2021_07_18,2021-07-18,2021,7,18,199
48.3325586234879,1626652800000,2021_07_19,2021-07-19,2021,7,19,200
51.857096423369455,1626739200000,2021_07_20,2021-07-20,2021,7,20,201
48.45038385580756,1626825600000,2021_07_21,2021-07-21,2021,7,21,202
49.73500912571774,1626912000000,2021_07_22,2021-07-22,2021,7,22,203
48.021656520681745,1626998400000,2021_07_23,2021-07-23,2021,7,23,204
49.17682400033294,1627084800000,2021_07_24,2021-07-24,2021,7,24,205
50.45819393421044,1627171200000,2021_07_25,2021-07-25,2021,7,25,206
51.66130578322799,1627257600000,2021_07_26,2021-07-26,2021,7,26,207
52.19212249701832,1627344000000,2021_07_27,2021-07-27,2021,7,27,208
48.59400598204104,1627430400000,2021_07_28,2021-07-28,2021,7,28,209
52.12363844920657,1627516800000,2021_07_29,2021-07-29,2021,7,29,210
51.34323145396644,1627603200000,2021_07_30,2021-07-30,2021,7,30,211
51.78918336976449,1627689600000,2021_07_31,2021-07-31,2021,7,31,212
50.79266889649375,1627776000000,2021_08_01,2021-08-01,2021,8,1,213
49.33117377026258,1627862400000,2021_08_02,2021-08-02,2021,8,2,214
51.351502560024585,1627948800000,2021_08_03,2021-08-03,2021,8,3,215
48.75278834470657,1628035200000,2021_08_04,2021-08-04,2021,8,4,216
49.3163245137182,1628121600000,2021_08_05,2021-08-05,2021,8,5,217
47.5628617589569,1628208000000,2021_08_06,2021-08-06,2021,8,6,218
50.1286955775974,1628294400000,2021_08_07,2021-08-07,2021,8,7,219
50.76564884569194,1628380800000,2021_08_08,2021-08-08,2021,8,8,220
51.32188687393915,1628467200000,2021_08_09,2021-08-09,2021,8,9,221
51.04644749179005,1628553600000,2021_08_10,2021-08-10,2021,8,10,222
50.683871781588834,1628640000000,2021_08_11,2021-08-11,2021,8,11,223
52.68488050148994,1628726400000,2021_08_12,2021-08-12,2021,8,12,224
51.31210532200225,1628812800000,2021_08_13,2021-08-13,2021,8,13,225
51.43639785213793,1628899200000,2021_08_14,2021-08-14,2021,8,14,226
51.61288613537374,1628985600000,2021_08_15,2021-08-15,2021,8,15,227
51.89448589888099,1629072000000,2021_08_16,2021-08-16,2021,8,16,228
51.37263021374093,1629158400000,2021_08_17,2021-08-17,2021,8,17,229
52.63075084025405,1629244800000,2021_08_18,2021-08-18,2021,8,18,230
49.85221005801196,1629331200000,2021_08_19,2021-08-19,2021,8,19,231
52.2087622030902,1629417600000,2021_08_20,2021-08-20,2021,8,20,232
52.44934430205046,1629504000000,2021_08_21,2021-08-21,2021,8,21,233
50.21965378494315,1629590400000,2021_08_22,2021-08-22,2021,8,22,234
52.5515672398127,1629676800000,2021_08_23,2021-08-23,2021,8,23,235
51.55458295403696,1629763200000,2021_08_24,2021-08-24,2021,8,24,236
52.542552607216294,1629849600000,2021_08_25,2021-08-25,2021,8,25,237
51.19354045363514,1629936000000,2021_08_26,2021-08-26,2021,8,26,238
52.34686492663684,1630022400000,2021_08_27,2021-08-27,2021,8,27,239
52.341282553642486,1630108800000,2021_08_28,2021-08-28,2021,8,28,240
51.278970627049944,1630195200000,2021_08_29,2021-08-29,2021,8,29,241
52.80074001124501,1630281600000,2021_08_30,2021-08-30,2021,8,30,242
49.61692179024351,1630368000000,2021_08_31,2021-08-31,2021,8,31,243
52.0566428949337,1630454400000,2021_09_01,2021-09-01,2021,9,1,244
49.77144232673203,1630540800000,2021_09_02,2021-09-02,2021,9,2,245
52.32290871262825,1630627200000,2021_09_03,2021-09-03,2021,9,3,246
49.15505989871144,1630713600000,2021_09_04,2021-09-04,2021,9,4,247
50.42713823245845,1630800000000,2021_09_05,2021-09-05,2021,9,5,248
48.68770962717355,1630886400000,2021_09_06,2021-09-06,2021,9,6,249
51.53908935957844,1630972800000,2021_09_07,2021-09-07,2021,9,7,250
49.455574915256875,1631059200000,2021_09_08,2021-09-08,2021,9,8,251
48.286175706120844,1631145600000,2021_09_09,2021-09-09,2021,9,9,252
48.98976137949893,1631232000000,2021_09_10,2021-09-10,2021,9,10,253
46.51380045206918,1631318400000,2021_09_11,2021-09-11,2021,9,11,254
47.4429135328902,1631404800000,2021_09_12,2021-09-12,2021,9,12,255
48.041016194532745,1631491200000,2021_09_13,2021-09-13,2021,9,13,256
46.942257862442034,1631577600000,2021_09_14,2021-09-14,2021,9,14,257
48.005749721519976,1631664000000,2021_09_15,2021-09-15,2021,9,15,258
45.79840876247982,1631750400000,2021_09_16,2021-09-16,2021,9,16,259
47.003739376185194,1631836800000,2021_09_17,2021-09-17,2021,9,17,260
47.42460830216163,1631923200000,2021_09_18,2021-09-18,2021,9,18,261
47.595325388912784,1632009600000,2021_09_19,2021-09-19,2021,9,19,262
47.14051730216289,1632096000000,2021_09_20,2021-09-20,2021,9,20,263
47.31252107291874,1632182400000,2021_09_21,2021-09-21,2021,9,21,264
47.918570801909425,1632268800000,2021_09_22,2021-09-22,2021,9,22,265
47.06155820996361,1632355200000,2021_09_23,2021-09-23,2021,9,23,266
47.80073426906091,1632441600000,2021_09_24,2021-09-24,2021,9,24,267
45.592818747529236,1632528000000,2021_09_25,2021-09-25,2021,9,25,268
45.8625637268226,1632614400000,2021_09_26,2021-09-26,2021,9,26,269
43.22793758241261,1632700800000,2021_09_27,2021-09-27,2021,9,27,270
47.193049750446335,1632787200000,2021_09_28,2021-09-28,2021,9,28,271
45.29048301141415,1632873600000,2021_09_29,2021-09-29,2021,9,29,272
45.69385842430887,1632960000000,2021_09_30,2021-09-30,2021,9,30,273
46.823325556289944,1633046400000,2021_10_01,2021-10-01,2021,10,1,274
45.317808334163715,1633132800000,2021_10_02,2021-10-02,2021,10,2,275
45.9126821228424,1633219200000,2021_10_03,2021-10-03,2021,10,3,276
43.51470639728143,1633305600000,2021_10_04,2021-10-04,2021,10,4,277
45.3876450000767,1633392000000,2021_10_05,2021-10-05,2021,10,5,278
44.766634256959605,1633478400000,2021_10_06,2021-10-06,2021,10,6,279
45.7242777910443,1633564800000,2021_10_07,2021-10-07,2021,10,7,280
44.51750960815838,1633651200000,2021_10_08,2021-10-08,2021,10,8,281
44.06317861282122,1633737600000,2021_10_09,2021-10-09,2021,10,9,282
44.898003098379775,1633824000000,2021_10_10,2021-10-10,2021,10,10,283
43.79595349537709,1633910400000,2021_10_11,2021-10-11,2021,10,11,284
46.07263959600186,1633996800000,2021_10_12,2021-10-12,2021,10,12,285
46.03526450784608,1634083200000,2021_10_13,2021-10-13,2021,10,13,286
47.96652358539876,1634169600000,2021_10_14,2021-10-14,2021,10,14,287
45.652164030340884,1634256000000,2021_10_15,2021-10-15,2021,10,15,288
46.45166009460149,1634342400000,2021_10_16,2021-10-16,2021,10,16,289
45.68718989301277,1634428800000,2021_10_17,2021-10-17,2021,10,17,290
43.31549118762371,1634515200000,2021_10_18,2021-10-18,2021,10,18,291
43.08996022829541,1634601600000,2021_10_19,2021-10-19,2021,10,19,292
41.81885313480291,1634688000000,2021_10_20,2021-10-20,2021,10,20,293
42.92764138514832,1634774400000,2021_10_21,2021-10-21,2021,10,21,294
40.54015682195194,1634860800000,2021_10_22,2021-10-22,2021,10,22,295
41.639029458543064,1634947200000,2021_10_23,2021-10-23,2021,10,23,296
41.707200799551,1635033600000,2021_10_24,2021-10-24,2021,10,24,297
40.62643200942546,1635120000000,2021_10_25,2021-10-25,2021,10,25,298
41.64505963953843,1635206400000,2021_10_26,2021-10-26,2021,10,26,299
39.850462779194004,1635292800000,2021_10_27,2021-10-27,2021,10,27,300
39.690101005026236,1635379200000,2021_10_28,2021-10-28,2021,10,28,301
39.01667346532446,1635465600000,2021_10_29,2021-10-29,2021,10,29,302
